  Wavenumber Growth_Rate
 1.00000E-01 4.28200E-02
 2.00000E-01 7.73534E-02
 3.00000E-01 9.85519E-02
 4.00000E-01 1.10770E-01
 5.00000E-01 1.12387E-01
 6.00000E-01 1.11546E-01
 7.00000E-01 1.18257E-01
 8.00000E-01 1.29991E-01
 9.00000E-01 1.39217E-01
 1.00000E+00 1.46493E-01
 1.10000E+00 1.54225E-01
 1.20000E+00 1.60932E-01
 1.30000E+00 1.67227E-01
 1.40000E+00 1.72801E-01
 1.50000E+00 1.78311E-01
 1.60000E+00 1.83672E-01
 1.70000E+00 1.76778E-01
 1.80000E+00 1.90739E-01
 1.90000E+00 1.95564E-01
 2.00000E+00 2.01400E-01
