  Wavenumber Growth_Rate
 1.00000E-01 4.28450E-02
 2.00000E-01 7.73444E-02
 3.00000E-01 9.80602E-02
 4.00000E-01 1.09811E-01
 5.00000E-01 1.09997E-01
 6.00000E-01 1.07599E-01
 7.00000E-01 1.11063E-01
 8.00000E-01 1.17879E-01
 9.00000E-01 1.24829E-01
 1.00000E+00 1.29109E-01
 1.10000E+00 1.33457E-01
 1.20000E+00 1.36253E-01
 1.30000E+00 1.37620E-01
 1.40000E+00 1.32212E-01
 1.50000E+00 1.15574E-01
 1.60000E+00 1.61258E-01
 1.70000E+00 1.61538E-01
 1.80000E+00 1.59949E-01
 1.90000E+00 1.81931E-01
 2.00000E+00 1.74083E-01
