           alpha_delta_g           nd_growthrate
   2.000000E-02    8.957972E-03
   4.000000E-02    1.830728E-02
   6.000000E-02    2.759760E-02
   8.000000E-02    3.674544E-02
   1.000000E-01    4.569693E-02
   1.200000E-01    5.441152E-02
   1.400000E-01    6.285876E-02
   1.600000E-01    7.101700E-02
   1.800000E-01    7.887168E-02
   2.000000E-01    8.641419E-02
   2.200000E-01    9.364037E-02
   2.400000E-01    1.005494E-01
   2.600000E-01    1.071430E-01
   2.800000E-01    1.134246E-01
   3.000000E-01    1.193987E-01
   3.200000E-01    1.250709E-01
   3.400000E-01    1.304469E-01
   3.600000E-01    1.355333E-01
   3.800000E-01    1.403364E-01
   4.000000E-01    1.448629E-01
   4.200000E-01    1.491192E-01
   4.400000E-01    1.531120E-01
   4.600000E-01    1.568476E-01
   4.800000E-01    1.603323E-01
   5.000000E-01    1.635722E-01
   5.200000E-01    1.665734E-01
   5.400000E-01    1.693415E-01
   5.600000E-01    1.718822E-01
   5.800000E-01    1.742010E-01
   6.000000E-01    1.763032E-01
   6.200000E-01    1.781937E-01
   6.400000E-01    1.798776E-01
   6.600000E-01    1.813597E-01
   6.800000E-01    1.826448E-01
   7.000000E-01    1.837374E-01
   7.200000E-01    1.846418E-01
   7.400000E-01    1.853627E-01
   7.600000E-01    1.859042E-01
   7.800000E-01    1.862707E-01
   8.000000E-01    1.864664E-01
   8.200000E-01    1.864953E-01
   8.400000E-01    1.863618E-01
   8.600000E-01    1.860698E-01
   8.800000E-01    1.856237E-01
   9.000000E-01    1.850274E-01
   9.200000E-01    1.842853E-01
   9.400000E-01    1.834014E-01
   9.600000E-01    1.823800E-01
   9.800000E-01    1.812254E-01
   1.000000E+00    1.799419E-01
   1.020000E+00    1.785338E-01
   1.040000E+00    1.770055E-01
   1.060000E+00    1.753615E-01
   1.080000E+00    1.736064E-01
   1.100000E+00    1.717446E-01
   1.120000E+00    1.697808E-01
   1.140000E+00    1.677197E-01
   1.160000E+00    1.655659E-01
   1.180000E+00    1.633243E-01
   1.200000E+00    1.609997E-01
   1.220000E+00    1.585968E-01
   1.240000E+00    1.561205E-01
   1.260000E+00    1.535757E-01
   1.280000E+00    1.509672E-01
   1.300000E+00    1.482997E-01
   1.320000E+00    1.455783E-01
   1.340000E+00    1.428074E-01
   1.360000E+00    1.399919E-01
   1.380000E+00    1.371364E-01
   1.400000E+00    1.342454E-01
   1.420000E+00    1.313232E-01
   1.440000E+00    1.283743E-01
   1.460000E+00    1.254026E-01
   1.480000E+00    1.224123E-01
   1.500000E+00    1.194071E-01
   1.520000E+00    1.163907E-01
   1.540000E+00    1.133665E-01
   1.560000E+00    1.103377E-01
   1.580000E+00    1.073074E-01
   1.600000E+00    1.042784E-01
   1.620000E+00    1.012531E-01
   1.640000E+00    9.823408E-02
   1.660000E+00    9.522329E-02
   1.680000E+00    9.222262E-02
   1.700000E+00    8.923372E-02
   1.720000E+00    8.625800E-02
   1.740000E+00    8.329664E-02
   1.760000E+00    8.035062E-02
   1.780000E+00    7.742070E-02
   1.800000E+00    7.450745E-02
   1.820000E+00    7.161126E-02
   1.840000E+00    6.873234E-02
   1.860000E+00    6.587073E-02
   1.880000E+00    6.302634E-02
   1.900000E+00    6.019893E-02
   1.920000E+00    5.738815E-02
   1.940000E+00    5.459351E-02
   1.960000E+00    5.181447E-02
   1.980000E+00    4.905037E-02
   2.000000E+00    4.630050E-02
   2.020000E+00    4.356407E-02
   2.040000E+00    4.084027E-02
   2.060000E+00    3.812823E-02
   2.080000E+00    3.542705E-02
   2.100000E+00    3.273584E-02
   2.120000E+00    3.005369E-02
   2.140000E+00    2.737967E-02
   2.160000E+00    2.471291E-02
   2.180000E+00    2.205251E-02
   2.200000E+00    1.939760E-02
   2.220000E+00    1.674738E-02
   2.240000E+00    1.410106E-02
   2.260000E+00    1.145788E-02
   2.280000E+00    8.817159E-03
   2.300000E+00    6.178254E-03
   2.320000E+00    3.540599E-03
   2.340000E+00    9.036632E-04
   2.360000E+00   -1.732991E-03
   2.380000E+00   -3.365002E-03
   2.400000E+00   -3.411077E-03
   2.420000E+00   -3.457585E-03
   2.440000E+00   -3.504524E-03
   2.460000E+00   -3.551894E-03
   2.480000E+00   -3.599694E-03
   2.500000E+00   -3.647923E-03
   2.520000E+00   -3.696581E-03
   2.540000E+00   -3.745667E-03
   2.560000E+00   -3.795180E-03
   2.580000E+00   -3.845120E-03
   2.600000E+00   -3.895487E-03
   2.620000E+00   -3.946278E-03
   2.640000E+00   -3.997495E-03
   2.660000E+00   -4.049136E-03
   2.680000E+00   -4.101201E-03
   2.700000E+00   -4.153689E-03
   2.720000E+00   -4.206600E-03
   2.740000E+00   -4.259933E-03
   2.760000E+00   -4.313688E-03
   2.780000E+00   -4.367864E-03
   2.800000E+00   -4.422461E-03
   2.820000E+00   -4.477479E-03
   2.840000E+00   -4.532916E-03
   2.860000E+00   -4.588773E-03
   2.880000E+00   -4.645049E-03
   2.900000E+00   -4.701743E-03
   2.920000E+00   -4.758856E-03
   2.940000E+00   -4.816387E-03
   2.960000E+00   -4.874335E-03
   2.980000E+00   -4.932700E-03
   3.000000E+00   -4.991483E-03
   3.020000E+00   -5.050681E-03
   3.040000E+00   -5.110296E-03
   3.060000E+00   -5.170326E-03
   3.080000E+00   -5.230772E-03
   3.100000E+00   -5.291633E-03
   3.120000E+00   -5.352909E-03
   3.140000E+00   -5.414600E-03
   3.160000E+00   -5.476704E-03
   3.180000E+00   -5.539223E-03
   3.200000E+00   -5.602155E-03
   3.220000E+00   -5.665501E-03
   3.240000E+00   -5.729260E-03
   3.260000E+00   -5.793432E-03
   3.280000E+00   -5.858016E-03
   3.300000E+00   -5.923013E-03
   3.320000E+00   -5.988422E-03
   3.340000E+00   -6.054242E-03
   3.360000E+00   -6.120475E-03
   3.380000E+00   -6.187119E-03
   3.400000E+00   -6.254174E-03
   3.420000E+00   -6.321641E-03
   3.440000E+00   -6.389518E-03
   3.460000E+00   -6.457806E-03
   3.480000E+00   -6.526504E-03
   3.500000E+00   -6.595613E-03
   3.520000E+00   -6.665131E-03
   3.540000E+00   -6.735060E-03
   3.560000E+00   -6.805398E-03
   3.580000E+00   -6.876145E-03
   3.600000E+00   -6.947302E-03
   3.620000E+00   -7.018869E-03
   3.640000E+00   -7.090844E-03
   3.660000E+00   -7.163228E-03
   3.680000E+00   -7.236021E-03
   3.700000E+00   -7.309222E-03
   3.720000E+00   -7.382832E-03
   3.740000E+00   -7.456850E-03
   3.760000E+00   -7.531276E-03
   3.780000E+00   -7.606110E-03
   3.800000E+00   -7.681352E-03
   3.820000E+00   -7.757002E-03
   3.840000E+00   -7.833059E-03
   3.860000E+00   -7.909524E-03
   3.880000E+00   -7.986396E-03
   3.900000E+00   -8.063675E-03
   3.920000E+00   -8.141361E-03
   3.940000E+00   -8.219454E-03
   3.960000E+00   -8.297954E-03
   3.980000E+00   -8.376861E-03
   4.000000E+00   -8.456174E-03
