           alpha_delta_g           nd_growthrate
   2.000000E-02    8.957764E-03
   4.000000E-02    1.830557E-02
   6.000000E-02    2.759210E-02
   8.000000E-02    3.673279E-02
   1.000000E-01    4.567307E-02
   1.200000E-01    5.437187E-02
   1.400000E-01    6.279845E-02
   1.600000E-01    7.093118E-02
   1.800000E-01    7.875551E-02
   2.000000E-01    8.626289E-02
   2.200000E-01    9.344947E-02
   2.400000E-01    1.003146E-01
   2.600000E-01    1.068603E-01
   2.800000E-01    1.130901E-01
   3.000000E-01    1.190088E-01
   3.200000E-01    1.246221E-01
   3.400000E-01    1.299362E-01
   3.600000E-01    1.349576E-01
   3.800000E-01    1.396928E-01
   4.000000E-01    1.441486E-01
   4.200000E-01    1.483318E-01
   4.400000E-01    1.522490E-01
   4.600000E-01    1.559069E-01
   4.800000E-01    1.593119E-01
   5.000000E-01    1.624703E-01
   5.200000E-01    1.653882E-01
   5.400000E-01    1.680718E-01
   5.600000E-01    1.705268E-01
   5.800000E-01    1.727589E-01
   6.000000E-01    1.747736E-01
   6.200000E-01    1.765763E-01
   6.400000E-01    1.781722E-01
   6.600000E-01    1.795664E-01
   6.800000E-01    1.807639E-01
   7.000000E-01    1.817696E-01
   7.200000E-01    1.825883E-01
   7.400000E-01    1.832247E-01
   7.600000E-01    1.836834E-01
   7.800000E-01    1.839691E-01
   8.000000E-01    1.840864E-01
   8.200000E-01    1.840397E-01
   8.400000E-01    1.838337E-01
   8.600000E-01    1.834728E-01
   8.800000E-01    1.829616E-01
   9.000000E-01    1.823047E-01
   9.200000E-01    1.815066E-01
   9.400000E-01    1.805719E-01
   9.600000E-01    1.795052E-01
   9.800000E-01    1.783112E-01
   1.000000E+00    1.769947E-01
   1.020000E+00    1.755605E-01
   1.040000E+00    1.740132E-01
   1.060000E+00    1.723578E-01
   1.080000E+00    1.705992E-01
   1.100000E+00    1.687424E-01
   1.120000E+00    1.667924E-01
   1.140000E+00    1.647542E-01
   1.160000E+00    1.626330E-01
   1.180000E+00    1.604337E-01
   1.200000E+00    1.581617E-01
   1.220000E+00    1.558219E-01
   1.240000E+00    1.534197E-01
   1.260000E+00    1.509601E-01
   1.280000E+00    1.484483E-01
   1.300000E+00    1.458893E-01
   1.320000E+00    1.432884E-01
   1.340000E+00    1.406503E-01
   1.360000E+00    1.379802E-01
   1.380000E+00    1.352828E-01
   1.400000E+00    1.325629E-01
   1.420000E+00    1.298252E-01
   1.440000E+00    1.270740E-01
   1.460000E+00    1.243139E-01
   1.480000E+00    1.215491E-01
   1.500000E+00    1.187835E-01
   1.520000E+00    1.160211E-01
   1.540000E+00    1.132656E-01
   1.560000E+00    1.105205E-01
   1.580000E+00    1.077891E-01
   1.600000E+00    1.050745E-01
   1.620000E+00    1.023796E-01
   1.640000E+00    9.970702E-02
   1.660000E+00    9.705936E-02
   1.680000E+00    9.443884E-02
   1.700000E+00    9.184752E-02
   1.720000E+00    8.928727E-02
   1.740000E+00    8.675974E-02
   1.760000E+00    8.426642E-02
   1.780000E+00    8.180855E-02
   1.800000E+00    7.938728E-02
   1.820000E+00    7.700351E-02
   1.840000E+00    7.465802E-02
   1.860000E+00    7.235141E-02
   1.880000E+00    7.008416E-02
   1.900000E+00    6.785661E-02
   1.920000E+00    6.566897E-02
   1.940000E+00    6.352132E-02
   1.960000E+00    6.141366E-02
   1.980000E+00    5.934587E-02
