           alpha_delta_g           nd_growthrate
   2.000000E-02    9.436150E-03
   4.000000E-02    1.883687E-02
   6.000000E-02    2.815432E-02
   8.000000E-02    3.735832E-02
   1.000000E-01    4.641538E-02
   1.200000E-01    5.529265E-02
   1.400000E-01    6.396025E-02
   1.600000E-01    7.239275E-02
   1.800000E-01    8.057007E-02
   2.000000E-01    8.847766E-02
   2.200000E-01    9.610620E-02
   2.400000E-01    1.034510E-01
   2.600000E-01    1.105111E-01
   2.800000E-01    1.172887E-01
   3.000000E-01    1.237882E-01
   3.200000E-01    1.300158E-01
   3.400000E-01    1.359785E-01
   3.600000E-01    1.416844E-01
   3.800000E-01    1.471415E-01
   4.000000E-01    1.523583E-01
   4.200000E-01    1.573428E-01
   4.400000E-01    1.621030E-01
   4.600000E-01    1.666466E-01
   4.800000E-01    1.709808E-01
   5.000000E-01    1.751124E-01
   5.200000E-01    1.790479E-01
   5.400000E-01    1.827933E-01
   5.600000E-01    1.863541E-01
   5.800000E-01    1.897357E-01
   6.000000E-01    1.929428E-01
   6.200000E-01    1.959800E-01
   6.400000E-01    1.988516E-01
   6.600000E-01    2.015616E-01
   6.800000E-01    2.041137E-01
   7.000000E-01    2.065114E-01
   7.200000E-01    2.087581E-01
   7.400000E-01    2.108570E-01
   7.600000E-01    2.128111E-01
   7.800000E-01    2.146234E-01
   8.000000E-01    2.162965E-01
   8.200000E-01    2.178334E-01
   8.400000E-01    2.192364E-01
   8.600000E-01    2.205084E-01
   8.800000E-01    2.216517E-01
   9.000000E-01    2.226688E-01
   9.200000E-01    2.235622E-01
   9.400000E-01    2.243343E-01
   9.600000E-01    2.249876E-01
   9.800000E-01    2.255244E-01
   1.000000E+00    2.259470E-01
   1.020000E+00    2.262580E-01
   1.040000E+00    2.264597E-01
   1.060000E+00    2.265545E-01
   1.080000E+00    2.265448E-01
   1.100000E+00    2.264331E-01
   1.120000E+00    2.262219E-01
   1.140000E+00    2.259136E-01
   1.160000E+00    2.255107E-01
   1.180000E+00    2.250159E-01
   1.200000E+00    2.244315E-01
   1.220000E+00    2.237602E-01
   1.240000E+00    2.230047E-01
   1.260000E+00    2.221675E-01
   1.280000E+00    2.212512E-01
   1.300000E+00    2.202587E-01
   1.320000E+00    2.191924E-01
   1.340000E+00    2.180553E-01
   1.360000E+00    2.168500E-01
   1.380000E+00    2.155792E-01
   1.400000E+00    2.142457E-01
   1.420000E+00    2.128523E-01
   1.440000E+00    2.114017E-01
   1.460000E+00    2.098968E-01
   1.480000E+00    2.083402E-01
   1.500000E+00    2.067347E-01
   1.520000E+00    2.050831E-01
   1.540000E+00    2.033880E-01
   1.560000E+00    2.016522E-01
   1.580000E+00    1.998783E-01
   1.600000E+00    1.980689E-01
   1.620000E+00    1.962266E-01
   1.640000E+00    1.943540E-01
   1.660000E+00    1.924535E-01
   1.680000E+00    1.905277E-01
   1.700000E+00    1.885790E-01
   1.720000E+00    1.866099E-01
   1.740000E+00    1.846229E-01
   1.760000E+00    1.826203E-01
   1.780000E+00    1.806046E-01
   1.800000E+00    1.785783E-01
   1.820000E+00    1.765437E-01
   1.840000E+00    1.745030E-01
   1.860000E+00    1.724585E-01
   1.880000E+00    1.704120E-01
   1.900000E+00    1.683654E-01
   1.920000E+00    1.663201E-01
   1.940000E+00    1.642774E-01
   1.960000E+00    1.622380E-01
   1.980000E+00    1.602027E-01
   2.000000E+00    1.581718E-01
   2.020000E+00    1.561454E-01
   2.040000E+00    1.541237E-01
   2.060000E+00    1.521069E-01
   2.080000E+00    1.500953E-01
   2.100000E+00    1.480896E-01
   2.120000E+00    1.460911E-01
   2.140000E+00    1.441013E-01
   2.160000E+00    1.421228E-01
   2.180000E+00    1.401586E-01
   2.200000E+00    1.382122E-01
   2.220000E+00    1.362878E-01
   2.240000E+00    1.343896E-01
   2.260000E+00    1.325217E-01
   2.280000E+00    1.306878E-01
   2.300000E+00    1.288906E-01
   2.320000E+00    1.271318E-01
   2.340000E+00    1.254114E-01
   2.360000E+00    1.237281E-01
   2.380000E+00    1.220789E-01
   2.400000E+00    1.204596E-01
   2.420000E+00    1.188648E-01
   2.440000E+00    1.172885E-01
   2.460000E+00    1.157242E-01
   2.480000E+00    1.141655E-01
   2.500000E+00    1.126062E-01
   2.520000E+00    1.110407E-01
