           alpha_delta_g           nd_growthrate
   2.000000E-02    9.436112E-03
   4.000000E-02    1.883656E-02
   6.000000E-02    2.815330E-02
   8.000000E-02    3.735598E-02
   1.000000E-01    4.641095E-02
   1.200000E-01    5.528532E-02
   1.400000E-01    6.394913E-02
   1.600000E-01    7.237696E-02
   1.800000E-01    8.054875E-02
   2.000000E-01    8.844995E-02
   2.200000E-01    9.607129E-02
   2.400000E-01    1.034081E-01
   2.600000E-01    1.104595E-01
   2.800000E-01    1.172277E-01
   3.000000E-01    1.237171E-01
   3.200000E-01    1.299339E-01
   3.400000E-01    1.358854E-01
   3.600000E-01    1.415793E-01
   3.800000E-01    1.470239E-01
   4.000000E-01    1.522275E-01
   4.200000E-01    1.571984E-01
   4.400000E-01    1.619445E-01
   4.600000E-01    1.664734E-01
   4.800000E-01    1.707925E-01
   5.000000E-01    1.749085E-01
   5.200000E-01    1.788279E-01
   5.400000E-01    1.825567E-01
   5.600000E-01    1.861005E-01
   5.800000E-01    1.894647E-01
   6.000000E-01    1.926540E-01
   6.200000E-01    1.956730E-01
   6.400000E-01    1.985261E-01
   6.600000E-01    2.012171E-01
   6.800000E-01    2.037500E-01
   7.000000E-01    2.061281E-01
   7.200000E-01    2.083550E-01
   7.400000E-01    2.104338E-01
   7.600000E-01    2.123675E-01
   7.800000E-01    2.141592E-01
   8.000000E-01    2.158115E-01
   8.200000E-01    2.173272E-01
   8.400000E-01    2.187091E-01
   8.600000E-01    2.199596E-01
   8.800000E-01    2.210814E-01
   9.000000E-01    2.220769E-01
   9.200000E-01    2.229486E-01
   9.400000E-01    2.236989E-01
   9.600000E-01    2.243302E-01
   9.800000E-01    2.248451E-01
   1.000000E+00    2.252458E-01
   1.020000E+00    2.255348E-01
   1.040000E+00    2.257146E-01
   1.060000E+00    2.257875E-01
   1.080000E+00    2.257560E-01
   1.100000E+00    2.256226E-01
   1.120000E+00    2.253897E-01
   1.140000E+00    2.250599E-01
   1.160000E+00    2.246356E-01
   1.180000E+00    2.241194E-01
   1.200000E+00    2.235140E-01
   1.220000E+00    2.228218E-01
   1.240000E+00    2.220455E-01
   1.260000E+00    2.211878E-01
   1.280000E+00    2.202513E-01
   1.300000E+00    2.192386E-01
   1.320000E+00    2.181526E-01
   1.340000E+00    2.169960E-01
   1.360000E+00    2.157714E-01
   1.380000E+00    2.144816E-01
   1.400000E+00    2.131294E-01
   1.420000E+00    2.117176E-01
   1.440000E+00    2.102490E-01
   1.460000E+00    2.087263E-01
   1.480000E+00    2.071522E-01
   1.500000E+00    2.055296E-01
   1.520000E+00    2.038612E-01
   1.540000E+00    2.021497E-01
   1.560000E+00    2.003978E-01
   1.580000E+00    1.986082E-01
   1.600000E+00    1.967833E-01
   1.620000E+00    1.949260E-01
   1.640000E+00    1.930385E-01
   1.660000E+00    1.911236E-01
   1.680000E+00    1.891836E-01
   1.700000E+00    1.872210E-01
   1.720000E+00    1.852381E-01
   1.740000E+00    1.832376E-01
   1.760000E+00    1.812217E-01
   1.780000E+00    1.791929E-01
   1.800000E+00    1.771536E-01
   1.820000E+00    1.751062E-01
   1.840000E+00    1.730530E-01
   1.860000E+00    1.709963E-01
   1.880000E+00    1.689380E-01
   1.900000E+00    1.668802E-01
   1.920000E+00    1.648245E-01
   1.940000E+00    1.627721E-01
   1.960000E+00    1.607241E-01
   1.980000E+00    1.586812E-01
   2.000000E+00    1.566437E-01
